吖	口丫
僤	亻口口田十
儋	亻⺈厂八亠二口
刐	丹刂
勯	亠囗口旦力
匰	匚口口田十
単	𭕄田十
唌	口廴正
啖	口火火
啗	口⺈臼
啿	口卄二匸八
嘾	口覀日十
噉	口{⿱𠃍耳}攵
噡	口⺈厂八亠二口
嚪	口門⺈臼
妉	女冖儿
媅	女卄二匸八
帎	巾冖儿
弹	弓丷田十
弾	弓𭕄田十
彈	弓口口田十
惔	忄火火
憺	忄⺈厂八亠二口
抌	扌冖儿
担	扌旦
掸	扌丷田十
撢	扌覀日十
撣	扌口口田十
擔	扌⺈厂八亠二口
旦	日一
柦	木旦
殚	歹丷田十
殫	歹口口田十
氮	气火火
沊	冖儿水
泹	氵旦
淡	氵火火
澹	氵⺈厂八亠二口
狚	犭旦
玬	𤣩丹
瓭	冖儿瓦
甔	⺈厂八亠二口瓦
疍	疋旦
瘅	疒丷田十
癉	疒口口田十
癚	疒⺈厂八亠二口
皽	亠囗口旦皮
眈	目冖儿
石	丆口
砃	石丹
禫	礻覀日十
窞	宀八⺈臼
箪	竹丷田十
簞	竹口口田十
紞	糹冖儿
耼	耳冄
耽	耳冖儿
聃	耳冉
聸	耳⺈厂八亠二口
胆	⺼旦
腅	⺼火火
膻	⺼亠囗口旦
膽	⺼⺈厂八亠二口
萏	艹⺈臼
蓞	艹爫臼
蛋	疋虫
蜑	廴正虫
衴	衤冖儿
褝	衤𭕄田十
襌	衤口口田十
觛	⺈用旦
訑	訁也
誕	訁廴正
诞	讠廴正
賧	貝火火
贉	貝覀日十
赕	贝火火
躭	身冖儿
郸	丷田十⻏
鄲	口口田十⻏
酖	酉冖儿
醈	酉火火
霮	雨氵卄二匸八
頕	占頁
餤	飠火火
饏	{⿱𠃍耳}攵𠆢丶艮
馾	馬冖儿
駳	馬廴正
髧	E𠫔彡冖儿
鴠	旦鳥
黕	{里}灬冖儿
黮	{里}灬卄二匸八
黵	{里}灬⺈厂八亠二口
𠆛	亠日口口田十
𠆶	亻冖儿
𠇋	𠆢开
𠈰	亻廴正
𠓊	光口口田十
𠹆	口目冖儿
𡖓	夕夕冖儿
𡦨	亠口子虍几
𡵕	丹山
𢅒	巾亠囗口旦
𢉑	广龶⺝
𢋃	广亠囗口旦
𢎪	弓几
𢑝	彐彐冖儿
𢻼	冖儿⺊又
𣅟	日冖儿
𣋊	日亠囗口旦
𣛱	木宀八⺈臼
𣱍	⺫九氏
𣲥	氵丹
𤁡	氵扌覀日十
𤢏	犭亠囗口旦
𤲭	田木田
𤺺	疒亠囗口旦
𥄦	目亠几
𥐹	石井
𥨎	宀八覀日十
𥱷	竹𠆢丶㇇貝
𥲄	竹氵火火
𥲇	竹身冖儿
𥳸	竹𠆢工見
𥳹	竹𠆢工貝
𥾚	糹冖几
𦅼	糹⺈厂八亠二口
𦋪	罒十廴正
𦻁	艹⺈臼欠
𦽜	艹宀分臼
𦽫	艹戊{一}口心
𦾩	艹⻖爫臼
𧀻	艹亻⺈厂八亠二口
𧂄	艹門⺈臼
𧙇	衤宀几
𧡪	卄二匸八見
𧭃	夫夫⺈厂八亠二口
𧴸	貝冖儿
𨢿	酉口口田十
𩄕	雨日正
𩅦	雨口口田十
𩅾	雨云卄二匸八
𩈉	面冖儿
𩈊	面尤
𩏥	𫝀口㐄口口田十
𩕤	宀八亠囗口頁
𩩧	冎⺼火火
𪆻	⺈厂八亠二口鳥
𪒾	{里}灬日日日大
䑗	臼日一勿
䣊	⺌冂口⻏
䣣	龸口{里}灬⻏
䦒	門石
偒	亻日一勿
儅	亻龸口田
党	龸兄
凼	凵水
噹	口龸口田
圵	土上
垱	土⺌彐
壋	土龸口田
婸	女日一勿
宕	宀石
崵	山日一勿
嵣	山广肀口
当	⺌彐
愓	忄日一勿
挡	扌⺌彐
擋	扌龸口田
攩	扌龸口{里}灬
档	木⺌彐
檔	木龸口田
欓	木龸口{里}灬
氹	乙水
潒	氵{⺈丿口}𧰨
澢	氵龸口田
灙	氵龸口{里}灬
珰	𤣩⺌彐
璗	氵日一勿玉
璫	𤣩龸口田
瓽	龸口瓦
當	龸口田
盪	氵日一勿皿
瞊	目广肀口
砀	石𠄎丿丿
碭	石日一勿
礑	石龸口田
筜	竹⺌彐
簜	竹氵日一勿
簹	竹龸口田
艡	舟龸口田
荡	艹氵𠄎丿丿
菪	艹宀石
蕩	艹氵日一勿
蘯	艹氵日一勿皿
蟷	虫龸口田
裆	衤⺌彐
襠	衤龸口田
譡	訁龸口田
讜	訁龸口{里}灬
谠	讠龸兄
趤	土龰宀石
逿	辶日一勿
闣	門龸口田
雼	雨石
黨	龸口{里}灬
𡇈	囗石
𡇵	囗宀石
𡗍	𦍌𠆢丶艮夕夕
𡢈	氵日一勿女
𡰨	尸丁
𡾕	山山氵日一勿
𢠽	忄{⺈丿口}𧰨
𢡂	氵日一勿心
𣂳	亠口冖丁斤
𣃉	斤龸口田
𣻍	氵⺈口㇉一灬
𤔶	爪龸口田
𤗾	片龸口田
𤢎	犭龸口田
𤣞	犭龸口{里}灬
𥢷	禾龸口田
𥤗	禾龸口{里}灬
𥯕	竹日一勿
𥸈	竹龸口{里}灬
𦗴	耳龸口田
𦳝	艹日一勿
𦼲	艹龸口田
𦿆	艹石日一勿
𧅗	艹龸口{里}灬
𧑘	氵日一勿虫
𨎴	車龸口田
𨝦	龸口土口巴
𨷾	門門門門
𩟈	飠龸口田
𩼉	魚龸口田
𩽳	魚龸口{里}灬
𪇁	龸口田鳥
㠀	鳥山
㧅	扌刀
㿒	疒土乛工一口寸
䆃	辶丷一自禾
䌦	糹习习亻{隹右}
䧂	⻖刀口
䲽	石鳥
倒	亻𠫔土刂
刀	𠃌丿
刂	丨亅
到	𠫔土刂
叨	口刀
嘄	口{鳥-灬}木
噵	辶丷一自口
壔	土土乛工一口寸
导	巳寸
導	辶丷一自寸
岛	{鸟减一}山
島	{鳥-灬}山
嶋	山鳥
嶌	山鳥
嶹	山土乛工一口寸
忉	忄刀
悼	忄⺊日十
捣	扌{鸟减一}山
捯	扌𠫔土刂
搗	扌{鳥-灬}山
擣	扌土乛工一口寸
朷	木刀
椡	木𠫔土刂
槝	木{鳥-灬}山
檤	木辶丷一自
氘	气{⿰丿丨}
焘	{寿上丰}寸灬
燾	土乛工一口寸灬
瓙	𤣩土乛工一口寸灬
盗	冫欠皿
盜	氵欠皿
祷	礻{寿上丰}寸
禂	礻⺆土口
禱	礻土乛工一口寸
稲	禾爫丨日
稻	禾爫臼
箌	竹𠫔土刂
絩	糹兆
纛	龶母{具-八}小丿糸
翢	⺆土口习习
翿	土乛工一口寸习习
舠	舟刀
艔	舟广廿又
菿	艹𠫔土刂
螩	虫亻丨攵朩
衜	彳一丁丷一自
衟	彳一丁巛𦣻
蹈	𧾷爫臼
軇	身土乛工一口寸
道	辶丷一自
釖	金刀
陦	⻖{寿上丰}寸
隝	⻖鳥
隯	⻖土乛工一口寸
魛	魚刀
鱽	鱼刀
𠐵	亻辶丷一自寸
𠴼	口𠫔土刂
𡄒	士𠃜殳老口
𢭏	扌{寿上丰}寸
𣁍	爫冖文
𣫜	士𠃜殳⺊日十
𣱼	氵刀
𤓾	爫冖丈
𤘀	片土乛工一口寸
𤷘	疒⺊日十
𤹷	疒鳥
𥓬	𠫔土刂石
𥗚	士𠃜殳必石
𦒺	老口又
𦦺	𡗗臼弓工工口
𦦾	𡗗臼土乛工一口寸
𦩍	舟⺆土口
𧼤	土龰𠫔土刂
𨗓	辶口丷一自
𨱦	E𠫔出
𩈞	面𠃊口乂
𩕯	土乛工一口寸頁
𩬱	E𠫔彡兆
𩭟	E𠫔彡⺊日十
𩵕	魚刃
㝵	日一寸
㤫	𠂇月心
㥀	忄十{具-八}
㥁	𠃊十⺫心
㯖	木十罒一心
䙷	見寸
䙸	見寸
嘚	口彳日一寸
地	土也
底	广氐
得	彳日一寸
徳	彳十罒心
德	彳十罒一心
恴	亠日心
悳	十{具-八}心
惪	十{具-八}心
旳	日勺
棏	木日一寸
淂	氵日一寸
的	白勺
鍀	金日一寸
锝	钅日一寸
𠮊	日一寸耳又
𠵨	口日一寸
𡋩	彳士土
𡭂	束日一寸
𣌏	日一寸艹亻{隹右}又
𣮊	日一寸毛
𣮰	目木毛
𤷙	疒日一寸
𨁽	𧾷日一寸
㩐	扌竹土寸
扥	扌{⿻𠤎一}
扽	扌屯
㲪	癶一口䒑毛
䒭	艹ユ寸
䠬	𧾷癶一口䒑⻏
䮴	馬癶一口䒑
凳	癶一口䒑几
噔	口癶一口䒑
墱	土癶一口䒑
嬁	女癶一口䒑
嶝	山癶一口䒑
戥	日生戈
櫈	木癶一口䒑几
灯	火丁
燈	火癶一口䒑
璒	𤣩癶一口䒑
登	癶一口䒑
瞪	目癶一口䒑
磴	石癶一口䒑
竳	立癶一口䒑
等	竹土寸
簦	竹癶一口䒑
艠	舟癶一口䒑
覴	癶一口䒑見
豋	𱼀龴一口䒑
蹬	𧾷癶一口䒑
邓	又⻏
鄧	癶一口䒑⻏
鐙	金癶一口䒑
镫	钅癶一口䒑
隥	⻖癶一口䒑
𡦔	亠丷冖巾乃子
𢯭	扌龹巾
𢿤	癶一口䒑⺊又
𣩟	歹癶一口䒑
𤮘	𱼀龴一口䒑瓦
𤺌	疒癶一口䒑
𤼶	癶一口䒑力
𤾢	白癶一口䒑
𦩫	舟龹巾
𧄼	艹罒冖癶一口䒑
𧾊	土龰癶一口䒑
𨄇	𧾷龹氺
𨎤	車癶一口䒑
𨮴	金癶一口䒑儿
𨶿	門癶一口䒑
𩍐	革癶一口䒑
𩞬	飠癶一口䒑
𩯇	E𠫔彡癶一口䒑
𪌷	來{夊}止𣥂
𪑬	{里}灬亠口冖丁
𪒘	{里}灬癶一口䒑
𪔏	士口䒑皮井
㡳	广氏
㢩	弓勺
㣙	彳由
㦅	忄{帶上头}冖巾
㪆	氐⺊又
㭽	木广氐
㰅	木辶亠丷冂古
㹍	牜亠丷冂古
㼵	日一龰瓦
䀸	扌斤目
䀿	目扌斤
䂡	石丘
䊮	米习习亻{隹右}
䍕	罒氐
䏑	𱼀肉
䑭	舟氵工
䑯	舟丷𢎨
䗖	虫{卅}冖巾
䞶	土龰日勿
䟡	𧾷氐
䢑	辶氐
䣌	广氐⻏
䨀	入米亻{隹右}
䨤	雨辶由
䩘	革一幺
䩚	革氐
䮤	馬冖亻{隹右}
䯼	E𠫔彡犭火
䱃	魚丿夫
䱱	魚亠丷冖巾
䴞	占㐅丶丶丶丶习习亻{隹右}
䵠	{里}灬勺
䶍	𠫔土自田丌
仾	亻互
低	亻氐
俤	亻丷𢎨
偙	亻亠丷冖巾
僀	亻{帶上头}冖巾
厎	厂氐
呧	口氐
哋	口土也
唙	口犭火
啇	亠丷冂古
啲	口白勺
嘀	口亠丷冂古
嚁	口习习亻{隹右}
坔	水土
坘	土互
埅	⻖方土
埊	山水土
埞	土宀一龰
堤	土日一龰
墆	土{帶上头}冖巾
墑	土亠丷冂古
墬	⻖彑𧰨土
奃	大氐
娣	女丷𢎨
媂	女亠丷冖巾
嫡	女亠丷冂古
岻	山氐
嵽	山{帶上头}冖巾
嶳	山豕土土
帝	亠丷冖巾
廸	廴由
弟	丷𢎨
弤	弓氐
彽	彳氐
怟	忄氐
扚	扌勺
抵	扌氐
拞	扌丘
掋	扌广氐
提	扌日一龰
揥	扌亠丷冖巾
摕	扌{帶上头}冖巾
敌	舌攵
敵	亠丷冂古攵
杕	木大
枑	木互
枤	木犬
梊	扌斤木
梑	木犭火
楴	木亠丷冖巾
樀	木亠丷冂古
氐	氏丶
浟	氵亻丨攵
涤	氵夂木
渧	氵亠丷冖巾
滌	氵亻丨攵朩
滴	氵亠丷冂古
焍	火丷𢎨
牴	牜氐
狄	犭火
玓	𤣩勺
珶	𤣩丷𢎨
甋	亠丷冂古瓦
疐	十冖田疋
眱	目夷
睇	目丷𢎨
砥	石氐
碮	石日一龰
碲	石亠丷冖巾
磾	石口口田十
祶	礻丷𢎨
禘	礻亠丷冖巾
秪	禾氐
笛	竹由
第	竹𢎨
篴	竹辶豕
籴	入米
糴	入米习习亻{隹右}
締	糹亠丷冖巾
缔	纟亠丷冖巾
羝	羊氐
翟	习习亻{隹右}
聜	耳宀八工
腣	⺼亠丷冖巾
苐	艹𢎨
苖	艹由
荻	艹犭火
菂	艹白勺
菧	艹广氐
蒂	艹亠丷冖巾
蓧	艹亻丨攵朩
蔋	艹氵上小又
蔐	艹亠丷冂古
蔕	艹{帶上头}冖巾
藡	艹辶亠丷冂古
蝃	虫又又又又
蝭	虫日一龰
螮	虫{帶上头}冖巾
袛	衤氐
覿	士⺫貝見
觌	十乛大⺀见
觝	⺈用氐
詆	訁氐
諟	訁日一龰
諦	訁亠丷冖巾
诋	讠氐
谛	讠亠丷冖巾
豴	豕亠丷冂古
趆	土龰氐
踶	𧾷日一龰
蹢	𧾷亠丷冂古
軧	車氐
迪	辶由
递	辶丷𢎨
逓	辶𠂆𰀁巾
遆	辶亠丷冖巾
遞	辶𠂆虍几
遰	辶{帶上头}冖巾
邸	氐⻏
鉪	金世
鏑	金亠丷冂古
镝	钅亠丷冂古
阺	⻖氐
隄	⻖日一龰
靮	革勺
鞮	革日一龰
頔	由頁
馰	馬勺
骶	冎⺼氐
髢	E𠫔彡也
鯳	魚广氐
鸐	习习亻{隹右}鳥
𠍪	亻豕灬
𠐑	亻十冖田厶龰
𠒿	光亠丷冂古
𠕳	冖入
𠚭	勺刂
𠥖	匚{帶上头}冖巾
𠨿	厂氏
𠫜	厶⺄力
𠽰	口宀日一龰
𡄷	口革日一龰
𡆣	囗入
𡒱	亠丷冂古攵土
𡚙	廿廿冖巾日大
𡚷	勺女
𡛜	女氐
𡰖	尢爫日一龰
𡽢	山习习亻{隹右}
𢅊	𠂉卌灬巾
𢉆	广廴聿
𢓧	彳土也
𢕚	彳氵日一寸
𣂉	亠丷冂古斗
𣅥	日互
𣚌	木亠丷冖巾口
𣬴	毛欠
𣯵	亠丷冂古毛
𣲢	氵勹㐅
𤁰	氵一丁矢口日
𤈥	火白匕
𤝬	犭氐
𤞈	犭一丘
𤧛	𤣩亠丷冖巾
𤬵	氐瓦
𤾠	白口口田十
𥄿	目尸二
𥕐	石亠丷冂古
𥖾	石辶亠丷冂古
𥡦	禾亠丷冂古
𥳠	竹辶虍几
𥴦	竹辶丷豕
𥸚	竹士⺫貝見
𥾬	糹一{纟上}
𥿄	糹氐
𦉹	罒勺
𦨢	舟氐
𦵦	艹亻上小又
𧀶	艹士冖田厶龰
𧂨	艹亠丷冖巾足
𧉛	虫一幺
𧋍	虫扌斤
𧍝	虫亠丷冖巾
𧤲	⺈用豕灬
𧥮	訁互
𧦚	訁一幺
𧺽	土龰㠯
𧿠	𧾷一幺
𨂇	𧾷戶止
𨌮	車广氐
𨑩	辶弔
𨑼	辶一幺
𨘬	辶艹{帶上头}冖巾
𨪾	金𠂆虍人
𨮹	金辶亠丷冂古
𩉱	革互
𩑾	氐頁
𩭲	E𠫔彡白勺
𩴺	士⺫貝鬼
𩷎	魚犭火
𪄱	亠丷冂古鳥
嗲	口父夕夕
㓠	占刂
㝪	宀土丷干丸
㞟	尸丷酉大
㥆	忄隶
㵤	氵习习大人人
㶘	氵竹覀日十
㸃	{里}灬占
㼭	土占瓦
䍄	缶占
䓦	艹{曲-一}一八
䟍	土龰自宀八方
䧃	⻖田
佃	亻田
佔	亻占
傎	亻十{具-八}八
典	{曲-一}一八
厧	厂十{具-八}八
嚸	口{里}灬占
坫	土占
垫	扌丸土
墊	土丷干丸土
壂	尸共殳土
奌	占大
奠	丷酉大
婝	女宀一龰
婰	女{曲-一}一八
嵮	山十{具-八}八
巅	山十{具-八}八页
巓	山匕目𠃊八頁
巔	山十{具-八}八頁
店	广占
惦	忄广占
扂	户占
掂	扌广占
攧	扌十{具-八}八頁
敁	占⺊又
敟	{曲-一}一八攵
椣	木{曲-一}一八
槇	木匕目𠃊八
槙	木十{具-八}八
橂	木丷酉大
橝	木覀日十
殿	尸共殳
淀	氵宀一龰
滇	氵十{具-八}八
澱	氵尸共殳
点	占灬
玷	𤣩占
琔	𤣩宀一龰
电	日乚
甸	勹田
痁	疒占
痶	疒{曲-一}一八
癜	疒尸共殳
癫	疒十{具-八}八页
癲	疒十{具-八}八頁
碘	石{曲-一}一八
磹	石覀日十
窴	宀八十{具-八}八
簟	竹覀日十
蒧	艹戊占
蕇	艹口口田十
蜔	虫勹田
跕	𧾷占
踮	𧾷广占
蹎	𧾷十{具-八}八
鈿	金田
钿	钅田
阽	⻖占
電	雨电
靛	龶⺝宀一龰
顚	匕目𠃊八頁
顛	十{具-八}八頁
颠	十{具-八}八页
驔	馬覀日十
點	{里}灬占
齻	止凵人人一人人十{具-八}八
𠑘	亻十{具-八}八頁
𠢣	少力{曲-一}一八
𠩷	厂{曲-一}一八
𠫉	厂匕目𠃊八頁
𠶧	口广占
𡱇	尸占
𡼓	山丷酉大
𢅝	尸共殳巾
𢕯	彳覀日十
𢖩	丶乚丶
𢻅	曲支
𣇖	日日工
𣒂	木立卩
𣢥	丘欠
𣣈	𠆢丶㇇心欠
𣣣	尸共欠
𣧛	歹火
𣪀	歹十{具-八}八頁
𣪪	疒{一}口殳
𤠶	犭十{具-八}八
𤩱	尸共殳玉
𤿶	{曲-一}一八皮
𥅑	目㠯
𥇞	目占土
𥑼	亻戈石
𥦟	宀八{曲-一}一八
𥮏	竹{曲-一}一八
𥳢	竹丷酉大
𥴫	竹尸共殳
𥵏	竹酉𠆢王
𦅆	糹丷酉大
𦒻	耂占
𦕒	耳占
𦽄	艹尸共殳
𧄺	艹十{具-八}八頁
𧍿	虫歹𠆢彡
𧽍	土龰十{具-八}八
𨈀	𧾷十{具-八}八頁
𩂵	雨尸巳
𩄠	雨十{具-八}八
𩅀	雨土丷干丸
𩆔	雨土丷干丸土
𩥄	馬十{具-八}八
𪑩	{里}灬尸共
𪓼	亠囗口旦口电
𪖚	自田丌占
㒛	亻习习亻{隹右}
㪕	⺊日十⺊又
㹿	犭⺊日十
䂪	石兆
䂽	石⺊日十
䉆	竹鳥
䔙	艹金勺
䘟	衤弔
䠼	身𠆢一月刂
䵲	{里}灬口口口木
伄	亻弔
凋	冫⺆土口
刁	𠃌㇀
刟	刀口刂
叼	口刁
吊	口巾
奝	大⺆土口
屌	尸口巾
弔	弓丨
弴	弓亠口子
彫	⺆土口彡
掉	扌⺊日十
汈	氵刁
琱	𤣩⺆土口
瘹	疒金勺
盄	弔皿
瞗	目鳥
碉	石⺆土口
窎	宀八鸟
窵	宀八鳥
竨	立⺊日十
簓	竹⺆土口彡
藋	艹习习亻{隹右}
虭	虫刀
蛁	虫刀口
訋	訁勺
誂	訁兆
調	訁⺆土口
调	讠⺆土口
貂	豸刀口
釣	金勺
鈟	金弔
銚	金兆
銱	金口巾
鋽	金⺊日十
錭	金⺆土口
鑃	金习习亻{隹右}
钓	钅勺
铞	钅口巾
铫	钅兆
雕	⺆土口亻{隹右}
雿	雨兆
魡	魚勺
鮉	魚刀口
鯛	魚⺆土口
鲷	鱼⺆土口
鳥	{鳥-灬}灬
鳭	刀鳥
鵰	⺆土口鳥
鸟	{鸟减一}一
鼦	臼{鼠下}刀口
𠄏	乛亅
𠚥	刀刂
𠚻	𠂉刁刂
𠛪	兆刂
𠤼	匚亻丨攵
𠥑	匚亻丨攵朩
𠶰	⺈丶⺆土口
𢁕	巾勺
𢄦	巾鳥
𢆴	幺𠄏
𣩰	歹习习亻{隹右}
𤕷	爿兆
𤭈	兆瓦
𤱩	田兆
𥁮	亻丨攵皿
𥮐	竹⺆土口
𥲟	竹金勺
𥾯	糹弔
𦄋	糹鳥
𦨣	舟刀口
𦶌	艹冫⺆土口
𦸔	艹⺆土口彡
𧅈	艹禾习习亻{隹右}
𧘨	衣弔
𧘩	方衣
𧜣	衤鳥
𨍳	車爫缶
𨰑	金艹习习亻{隹右}
𨸓	⻖刀
𩀜	冎⺼亻{隹右}
𩈮	面⺆土口
𩋙	革⺆土口
𩾗	刁鳥
㑙	亻耳乚
㥈	巾占心
㦶	戈𠫔土
㩸	扌田田田宀彑
㩹	扌田田田冖且
㫼	日牛冂刂
㬪	日日日宀彑
㭯	木耳乚
㲲	田田田冖且毛
㲳	氐丿夫
㷸	火日一艹𰀁
㻡	𤣩世木
䏲	⺼丷𢎨
䘭	衤𠫔土
䙝	衣土丷干丸
䞇	土儿土丸貝
䞕	赤雨而
䠟	土丷干丸足
䮢	馬千臼
䲀	土丷干丸魚
䳀	鳥丿夫
䴑	田田田冖且鳥
佚	亻丿夫
叠	又又又冖且
咥	口𠫔土
啑	口十⺕龰
喋	口世木
垤	土𠫔土
堞	土世木
峌	山𠫔土
崼	山日一龰
幉	巾世木
怢	忄丿夫
恎	忄𠫔土
惵	忄世木
戜	戈口王
挕	扌耳
揲	扌世木
昳	日丿夫
曡	日日日冖且
柣	木丿夫
楪	木世木
槢	木习习白
殜	歹世木
氎	田田田宀彑毛
泆	氵丿夫
爹	父夕夕
牃	爿世木
牒	片世木
瓞	瓜丿夫
畳	田冖且
疂	田冫丿丶冖且
疉	田田田冖彑
疊	田田田冖且
眣	目丿夫
眰	目𠫔土
碟	石世木
絰	糹𠫔土
绖	纟𠫔土
耊	耂𠫔土
耋	老𠫔土
胅	⺼丿夫
臷	戈十𠫔土
艓	舟世木
苵	艹丿夫
蜨	虫十⺕龰
蝶	虫世木
螲	虫宀八𠫔土
褋	衤世木
褺	土丷干丸衣
詄	訁丿夫
諜	訁世木
谍	讠世木
趃	土龰丿夫
跌	𧾷丿夫
跮	𧾷𠫔土
蹀	𧾷世木
軼	車丿夫
迭	辶丿夫
镻	E𠫔丿夫
鞢	革世木
鰈	魚世木
鲽	鱼世木
鴩	丿夫鳥
𠅗	丁亠亻{夜右下}
𠆙	亠口冖丁亠亻{夜右下}
𠗛	冫亠厶木
𠗨	冫世木
𠠯	田田田冖且刂
𠲷	口耳𠃊
𡅥	口十{具-八}八頁
𡇓	囗𠫔土
𡖐	夕夕也
𡱷	尸耳𠃊
𡹭	山宀𠫔土
𡺑	山世木
𡼄	山宀八𠫔土
𢎆	弋𠫔土
𢜨	世木心
𢬴	扌耳乚
𢲼	扌宀八𠫔土
𢶣	扌又又又冖且
𣈍	日宀且
𣛻	木片世木
𣡟	木田田田冖夕一
𣧈	歹山
𣨂	歹𠫔土
𣶏	氵十⺕龰
𤖒	爿又又又木
𤗨	片习习白
𤚊	牜亠厶木
𤴍	田田田冖且宀丁
𥈖	目大羊
𥉺	目宀八𠫔土
𥑇	石丿夫
𥥌	宀八丿夫
𥶺	竹卄二一八亠厶木
𥷕	竹卄二一八世木
𦁛	糹亠厶木
𦁜	糹廿木
𦄔	糹宀八𠫔土
𦈅	糹田田田宀且
𧍱	虫宀𠫔土
𨄌	𧾷习习白
𨈈	𧾷田田田冖且
𨐁	車田田田冖且
𨓊	辶耳𠃊
𨭓	金戈十士口
𨳺	門丿夫
𨴗	門𠫔土
𨻗	⻖又又又木
𨾤	丿夫亻{隹右}
𩋞	革廿木
𩻵	魚𠆢一口习习
𪀒	鳥𠫔土
𪑧	{里}灬世木
㝎	宀之
㫀	日曰斤
㴿	氵丁頁
㼗	丁瓦
䦺	⻖丁
丁	一亅
仃	亻丁
叮	口丁
啶	口宀一龰
奵	女丁
定	宀一龰
嵿	山丁頁
帄	巾丁
忊	忄丁
掟	扌宀一龰
椗	木宀一龰
濎	氵爿片目
玎	𤣩丁
町	田丁
甼	田丁
疔	疒丁
盯	目丁
矴	石丁
碇	石宀一龰
碠	石亠口冖丁
磸	石丷酉大
耵	耳丁
聢	耳宀一龰
腚	⺼宀一龰
艼	艹丁
萣	艹宀一龰
薡	艹爿片目
虰	虫丁
蝊	虫宀一龰
訂	訁丁
订	讠丁
酊	酉丁
釘	金丁
鋌	金廴𡈼
錠	金宀一龰
鐤	金爿片目
钉	钅丁
铤	钅廴𡈼
锭	钅宀一龰
靪	革丁
頂	丁頁
顁	宀一龰頁
顶	丁页
飣	飠丁
饤	饣丁
鼎	爿片目
鼑	爿片⺊目
𢑅	𦥑冂{一}口一弓弓
𣆍	日方⺃
𣢳	⺧力欠
𤐣	火爿片目
𤛙	丨目干厶牛
𥇓	目宀一龰
𥯢	竹亠口冖丁
𥳰	竹丷酉寸
𥸧	米丁
𦨍	舟丁
𦩘	舟宀一龰
𧇷	曰勹𠃊人虍几
𧌾	虫虫丁
𧳉	豸丷开
𨡱	酉艹古
𩜦	飠宀一龰
𩠑	丁丷一自
𩡯	馬丁
𩸎	魚宀一龰
𩾚	丁鳥
𪔂	𠃑一丨丨一𠃑目
丟	一去
丢	丿去
銩	金丿去
铥	钅丿去
𠲍	口丿去
𢒝	⺇臣彡
㑈	亻东
㓊	冫冂{一}口
㖦	口東
㗢	口重力
㚵	女冬
㜱	女斤斤貝
㢥	冂{一}口弋
㨂	扌東
㼯	東瓦
䂢	石冬
䅍	禾廴𡈼
䍶	{羊}東
䞒	赤冂{一}口
䵔	禾人氺東
东	一𠃋小
侗	亻冂{一}口
倲	亻東
働	亻重力
冬	夂⺀
冻	冫东
凍	冫東
动	云力
動	重力
勭	立里力
咚	口冬
垌	土冂{一}口
埬	土東
墥	土立里
姛	女冂{一}口
娻	女東
嬞	女艹重
岽	山东
峒	山冂{一}口
崠	山東
崬	山東
徚	彳柬
恫	忄冂{一}口
懂	忄艹重
戙	冂{一}口戈
挏	扌冂{一}口
昸	日冬
東	𤰔人
栋	木东
棟	木東
氡	气冬
氭	气東
洞	氵冂{一}口
涷	氵東
湩	氵重
烔	火冂{一}口
燑	火立里
狪	犭冂{一}口
硐	石冂{一}口
笗	竹冬
箽	竹重
絧	糹冂{一}口
胨	⺼东
胴	⺼冂{一}口
腖	⺼東
苳	艹冬
菄	艹東
董	艹重
蕫	艹立里
蝀	虫東
諌	訁東
迵	辶冂{一}口
霘	雨氵冂{一}口
駧	馬冂{一}口
鮗	魚冬
鯟	魚東
鶇	東鳥
鶫	柬鳥
鸫	东鸟
鼕	士口䒑支冬
𠄉	爫子乚重
𢔅	彳東
𢛔	忄東
𢳾	扌重力
𣿅	氵艹重
𤤮	𤣩冬
𤦪	𤣩東
𤲚	田東
𤷆	疒東
𥫎	立里厶貝
𥳘	竹立里
𦡂	⺼艹重
𧄓	士口䒑艹重
𧆼	虍几冬
𧓕	東虫虫
𧡍	東見
𧯾	士口䒑東
𧲴	豸冬
𧳣	豸東
𧼓	土龰東
𧽿	土龰立里
𨩧	十冂丷干金
𨿢	東亻{隹右}
𩂓	雨冬
𩐤	立日冂{一}口
𩐵	立日工貝
𩜍	飠東
𩣳	馬東
𩭩	E𠫔彡東
𪐈	禾人氺重
𪔦	士口䒑支氵冂{一}口
㛒	女一口䒑
㞳	山斗
㢄	广一口䒑
㨮	扌丿𠄌コ白儿
㪷	豆斗
㷆	火丿㠯十
䄈	礻一口䒑
䕆	艹木𠆢一月刂
䕱	艹豆頁
䛠	訁一口䒑
䬦	飠殳
乧	斗乙
侸	亻一口䒑
兜	丿𠄌コ白儿
兠	北白儿
吺	口殳
唗	口土龰
唞	口扌斗
抖	扌斗
斗	十⺀
斣	⺫勹虫斗
枓	木斗
梪	木一口䒑
橷	木北白儿
毭	豆毛
浢	氵一口䒑
渎	氵十乛大⺀
瀆	氵士⺫貝
狵	犭龙丿丿
痘	疒一口䒑
窦	宀八十乛大⺀
竇	宀八士⺫貝
篼	竹丿𠄌コ白儿
脰	⺼一口䒑
荳	艹一口䒑
蔸	艹丿𠄌コ白儿
蚪	虫斗
读	讠十乛大⺀
豆	一口䒑
逗	辶一口䒑
郖	豆⻏
都	耂日⻏
酘	酉殳
鈄	金斗
鋀	金一口䒑
钭	钅斗
閗	門斗
闘	門豆寸
阧	⻖斗
