a	a art.一;字母A
aspirin	aspirin n.阿斯匹林
aspiring	aspiring a.积极的;热心的;有抱负的
asquint	asquint a.ad.斜眼
ass	ass n.驴;傻瓜;笨蛋
ass-kisser	ass-kisser n.无耻的拍马者
assagai	assagai n.南非土人所用的标枪
assail	assail vt.攻击
assailant	assailant n.攻击者
Assam	Assam n.阿萨姆
assassin	assassin n.暗杀者;刺客
assassinate	assassinate vt.暗杀;行刺
assassination	assassination n.暗杀
assassinator	assassinator n.刺客
assault	assault n.攻击;突袭 vt.袭击;突袭 vi.动武
assault and battery	assault and battery n.殴打;人身攻击
assay	assay n.化验;分析 vt.化验;分析;尝试 vi.被验明成分
assayer	assayer n.试金者;分析专家
assaying	assaying n.试金;分析试验
assemblage	assemblage n.集合;集会;装配
assemble	assemble vt.集合;装配 vi.集合
assembled	assembled v.装配;组合;vbl.装配;组合
assembler	assembler n.汇编器;汇编程序
assembling	assembling n.汇编;组合;装配
assembly	assembly n.集会;会议;装配
assemblyman	assemblyman n.议员
assent	assent n.赞成 vi.同意
assentation	assentation n.同意;附和;盲从的同意
assentient	assentient a.同意的;赞成的 n.同意者;赞成者
assert	assert vt.主张;声明;断言
assert oneself	assert oneself v.坚持自己的权利
assertion	assertion n.断言;主张
assertive	assertive a.断定的;过分自信的
assess	assess vt.估定;评定
assessment	assessment n.评估;估定;评定的款额
assessor	assessor n.辅佐人;顾问;估税员
asset	asset n.资产;有用的东西
assets	assets n.资产
asseverate	asseverate vt.郑重声言;断言
asseveration	asseveration n.断言;誓言
assiduity	assiduity n.勤勉;刻苦;殷勤
assiduous	assiduous a.勤勉的;刻苦的
assign	assign vt.分配;指派 v.赋值 n.DOS命令:将驱动器符重指向第二个驱动器符
assignable	assignable a.可分配的;可直定的;可归属的
assigner	assigner n.分配人;指定人
assignment	assignment n.分配;功课;任务
assignor	assignor n.让与人
assimilable	assimilable a.可同化的
assimilate	assimilate vt.使同化;比较;比拟;吸收;吸取 vi.被吸收;被同化
assimilation	assimilation n.同化;同化作用;消化
assist	assist n.帮助;协助 vt.帮助;搀扶 vi.协助;参加
assistance	assistance n.协助;援助
assistant	assistant n.助手;助理;助教 a.有帮助的;辅助的;副的
assistant-manager	assistant-manager n.副经理
assize	assize n.立法会议;法令
assizes	assizes n.巡回审判
associable	associable a.可联想的;交感性的
associate	associate n.同伴;伙伴 vt.联合;联想 vi.交往 n.关联
associated	associated a.联合的;关联的
association	association n.协会
association football	association football n.英式足球
associator	associator n.伙伴;社员;会员
assoil	assoil vt.赦免;释放;补偿
assonance	assonance n.音的类似;类音;类韵
assonant	assonant a.类韵的
assort	assort vt.分类;配合 vi.协调;交往
assorted	assorted a.配合的;组合的;各色俱备的
assortment	assortment n.分类;配合;各色俱备之物
assuage	assuage vt.缓和;减轻;镇定
assuasive	assuasive a.有和缓性的;有镇静力的;缓和的
assumable	assumable a.可假定的
assumably	assumably ad.多半;大概
assume	assume vt.假定;承担;摆架子 vi.专擅
assumed	assumed a.假装的;装的;假定的
assumedly	assumedly ad.多半;大概
assuming	assuming a.傲慢的;僭越的;不逊的
assumption	assumption n.假定;假装;视为当然之事
assurable	assurable a.可保证的
assurance	assurance n.保证;确信;保险
assure	assure vt.保证;确告;担保
assured	assured a.确实的;确定的
assuredly	assuredly ad.确实地;无疑地;确信地
assuredness	assuredness n.确实;确信;自信
assuring	assuring a.保证的;确信的;使人有自信的
Assyria	Assyria n.亚述
Assyrian	Assyrian a.亚述的;亚述人的;亚述语的 n.亚述人
astatine	astatine n.石厄
aster	aster n.紫菀
asterisk	asterisk n.星号
asterism	asterism n.星群;三星符号
astern	astern ad.在船尾;向船尾
asteroid	asteroid n.小游星;小行星;海盘车 a.星状的
asteroidal	asteroidal a.星状的
asthma	asthma n.哮喘
asthmatic	asthmatic a.哮喘的;患哮喘症
astigmatism	astigmatism n.散光
astir	astir a.活动的;骚动的;起床
astonish	astonish vt.使惊讶
astonished	astonished adj.惊异
astonishing	astonishing a.可惊异的
astonishment	astonishment n.惊异;惊愕;使人惊异的事物
astound	astound vt.使惊骇;使大吃一惊
astounding	astounding a.令人惊骇的
astraddle	astraddle ad.跨着
Astraea	Astraea n.正义的女神
astragalus	astragalus n.距骨;紫云英属
astrakhan	astrakhan n.俄国羔皮
astral	astral a.星的;多星的;星界的
astray	astray ad.迷途地;入歧途地
astride	astride ad.跨着
astringe	astringe vt.使收缩;使收敛
astringency	astringency n.收敛性;严酷
astringent	astringent n.收敛剂 a.收敛性的;严酷的;涩的
astringents	astringents n.收敛剂
astrionics	astrionics n.天文电子
astrobiology	astrobiology n.太空生物学
astrocompass	astrocompass n.星象罗盘
astrogate	astrogate vt.vi.驾驶(飞船)
astrolog	astrolog n.星相学
astrologer	astrologer n.占星家
astrological	astrological a.占星的;占星术的
astrology	astrology n.占星术;占星学
astronaut	astronaut n.太空人;宇航员
astronautical	astronautical a.太空航行学
astronautics	astronautics n.太空航空学
astronomer	astronomer n.天文学家
astronomical	astronomical a.天文学的;天文数字的;庞大的
astronomy	astronomy n.天文学
astrophysical	astrophysical a.天体物理学的
astrophysicist	astrophysicist n.天体物理学家
astrophysics	astrophysics n.天体物理学
astute	astute a.机敏的;狡猾的
astuteness	astuteness n.机敏;精明
asunder	asunder ad.分开;分离;成碎片
asylum	asylum n.庇护;收容所
asymmetry	asymmetry n.不均匀;不称;不对称
asymptote	asymptote n.渐近线
asynchronous	asynchronous a.异步的;非同时性的 n.异步;非同步
asyndeton	asyndeton n.接续词省略
at	at prep.在;向;对
Atlanta	Atlanta n.捷足善走的美女
atalanta	atalanta n.捷足善走的美女
atavism	atavism n.隔代遗传;祖型再现
atavistic	atavistic a.隔代遗传的
ataxic	ataxic a.运动失调的
ate	ate vbl.吃
atelier	atelier n.工作室;画室
atheism	atheism n.无神论
atheist	atheist n.无神论者
atheistic	atheistic a.无神论的;无神论者的
Athena	Athena n.智慧与技艺的女神
Athene	Athene n.智慧与技艺的女神
Athenian	Athenian n.雅典人 a.雅典的;雅典人的
Athens	Athens n.雅典
athermancy	athermancy n.不透热;不透热性
atherosclerosis	atherosclerosis n.动脉硬化症
athirst	athirst a.渴望的
athlete	athlete n.运动员;运动选手
athletic	athletic a.运动的
athletically	athletically ad.竞赛地;运动比赛地;运动家作风地
athletics	athletics n.运动
athwart	athwart ad.横过地;斜地 prep.横过;反对;逆
atilt	atilt ad.挺着矛;摆着冲刺的姿势;倾斜
atingle	atingle a.刺痛的;疼痛的
Atlantic	Atlantic n.大西洋 a.大西洋的
Atlantis	Atlantis n.传说沉没于大西洋中的岛
atlas	atlas n.地图;地图集
atman	atman n.呼吸;生命的本源;灵魂
atmosphere	atmosphere n.大气;气氛
atmospheric	atmospheric a.大气的
atmospheric-circle	atmospheric-circle n.大气环流
atmospheric-circul	atmospheric-circul n.大气环流
atmospherically	atmospherically ad.大气所致的;气压所致的;气压上
atoll	atoll n.环状珊瑚岛;环礁
atom	atom n.原子;微粒;微量
atomic	atomic a.原子的;微粒的
atomicity	atomicity n.原子数
atomics	atomics n.原子学
atomism	atomism n.原子说;原子论
atomist	atomist n.原子论者
atomistic	atomistic a.原子论的
atomization	atomization n.粉碎成原子;以原子弹粉碎之;吹成为雾
atomize	atomize vt.使分为原子;将喷成雾状
atomizer	atomizer n.喷雾器;香水喷瓶
atomy	atomy n.微小之物;原子;矮人
atonable	atonable a.可补偿的
atonal	atonal a.无调的
atonality	atonality n.无调性
atone	atone vi.补偿;赎罪;弥补
atone for	atone for v.赎回;偿还
atonement	atonement n.赔偿;赎罪;补偿
atonic	atonic a.平音的;清音的;无活力的
atony	atony n.弛缓;无力
atop	atop ad.在顶上 prep.在...的顶上
attorney-at-law	attorney-at-law n.律师
atorney-at-law	atorney-at-law n.律师
atrip	atrip ad.刚吊起离海底
atrium	atrium n.中庭;心房
atrocious	atrocious a.残暴的;凶恶的
atrocious weather	atrocious weather n.恶劣气候
atrocity	atrocity n.残暴;凶恶;暴行
atrophic	atrophic a.萎缩的
atrophy	atrophy n.萎缩;萎缩症
attach	attach vt.附上;使依恋;爱慕;系;缚 vi.缚;系;归属
attachable	attachable a.可连接的;可附上的;可逮捕的
attaché	attaché n.大使随员;大使馆馆员
attache	attache n.大使随员;大使馆馆员
attached	attached pp.附上
attaching	attaching a.附属的;vbl.附上;依恋;爱慕
attachment	attachment n.附着;附属物;爱慕
attack	attack n.攻击;抨击 vt.攻击;抨击;动手 vi.攻击
attacker	attacker n.攻击者
attain	attain vt.达到;获得 vi.达到
attainable	attainable a.可到达的;可得到的
attainder	attainder n.剥夺公民权
attained	attained v.达到;获得;vbl.达到;获得
attainment	attainment n.达到
attainments	attainments n.成就;造诣
attaint	attaint vt.宣告剥夺财产权;损坏;玷污 n.私权丧失;污点;耻辱
attar	attar n.花油;玫瑰油
attemper	attemper vt.使缓和;调度;调和
attempt	attempt n.尝试;企图 vt.尝试;企图
attend	attend vt.参加;照料;陪伴 vi.专心;照顾;服侍
attendance	attendance n.出席;照料;出席的人数
attendant	attendant n.随从;跟班;出席者 a.伴随的;出席的;注意的;在场的
attention	attention n.注意;注意力
attentive	attentive a.注意的;留意的
attentively	attentively ad.注意地;留意地
attenuate	attenuate a.使变稀薄的;稀释的 vt.使变稀;使变薄; vi.变稀薄;变细
attenuat	attenuat a.使变稀薄的;稀释的 vt.使变稀;使变薄; vi.变稀薄;变细
attenuation	attenuation n.变薄;稀薄化;弄细;衰减
attest	attest vi.证明;作证 vt.为...作证
attest to	attest to v.证实;证明
attestation	attestation n.证明;证据;证言
attester	attester n.证人;证明者
attestor	attestor n.证人;证明者
attic	attic n.阁楼;顶楼
Attila	Attila n.匈奴王
attire	attire n.服装;盛装 vt.穿衣;打扮
attired	attired pp.装扮
attitude	attitude n.态度;看法;姿势
attitudinize	attitudinize vi.装腔作势
attorn	attorn vi.承认新地主
attorney	attorney n.代理人;律师
attract	attract vt.吸引;诱惑 vi.有吸引力
attractable	attractable a.可被吸引的
attraction	attraction n.吸引;吸引人的事物;吸引力
attractive	attractive a.吸引人的;有魅力的
attractively	attractively ad.动人地;迷人地
attrib	attrib n.DOS命令:改变或显示文件的属性
attributable	attributable a.可归于...的
attribute	attribute n.属性;定语;标志 vt.归于;属于
attribution	attribution n.归因
attributive	attributive a.归属的;归因的;定语的 n.定语
attrition	attrition n.摩擦;磨损
attune	attune vt.调音;使合调;使相合
atypical	atypical a.非典型的
auburn	auburn n.赤褐色 a.赤褐色的
auction	auction n.拍卖 vt.拍卖
auctioneer	auctioneer n.拍卖人 vt.拍卖
audacious	audacious a.大胆的;无礼的;无耻的
audacity	audacity n.大胆;厚颜
audibility	audibility n.可听到;能听度
audible	audible a.听得见的
audibly	audibly ad.可听见地
audience	audience n.听众;观众
audio	audio a.成音频率的;声音的
audiogram	audiogram n.声波圆
audiology	audiology n.听觉学
audiometer	audiometer n.听力表;测听计;音响测定器
audiometry	audiometry n.测听术
audio-visual	audio-visual n.视听
audiovisual	audiovisual n.视听
audiphone	audiphone n.助听器
audit	audit n.稽核;查帐 vt.稽核;旁听 vi.查账
auditing	auditing v.审核
audition	audition n.听;听力;试听
auditive	auditive a.耳朵的;听觉的
auditor	auditor n.听者;收听者;稽核员
auditoria	auditoria n.礼堂;会议厅;听众
auditorial	auditorial a.查帐的;查帐官的
auditorium	auditorium n.礼堂;会议厅;听众
auditory	auditory a.耳的;听觉的
Audrey	Audrey n.欧蕊
augean	augean a.Elis王Augeas的;极脏的
auger	auger n.螺丝钻;大锥
aught	aught n.任何事物
augment	augment vt.vi.增加;增大 n.增加
augmentation	augmentation n.增加;增大;增加物
augur	augur n.占兆官;占卜师;相命者 vt.vi.占卜;预言
augural	augural a.卜占的;前兆的
augury	augury n.占兆;占卜;预言
august	august a.威严的;令人敬畏的 n.八月
Augustan	Augustan n.奥古斯都的;奥古斯都时代的
auk	auk n.海雀
auklet	auklet n.小海雀
aunt	aunt n.姑妈;舅妈
auntie	auntie n.伯母;阿姨;姑妈
aunty	aunty n.伯母;阿姨;姑妈
aura	aura n.气味;气氛
aurae	aurae n.气味;气氛
aural	aural a.耳的;听觉的
aureate	aureate a.金色的;璨烂的;镀金的
Aurelia	Aurelia n.蛹;水母
aureola	aureola n.光轮;光环
aureole	aureole n.光轮;光环
aureomycin	aureomycin n.金霉素
auric	auric a.金的
auricle	auricle n.外耳
auricled	auricled a.有耳的;有耳状部的
auricular	auricular n.耳的;耳状的;
auriferous	auriferous a.产金的;含金的
auriform	auriform a.耳状的
aurist	aurist n.耳科医生;耳科专家
aurochs	aurochs n.野牛之一种
aurora	aurora n.黎明的女神;北极光
auroral	auroral a.曙光的;玫瑰色的;极光的
aurous	aurous a.金的;含金的;第一金的
aurum	aurum n.金
auscultate	auscultate vt.vi.听诊
auscultation	auscultation n.听诊
auspice	auspice n.赞助;主办;吉兆
auspices	auspices n.赞助
auspicious	auspicious n.吉兆的;幸运的
aussie	aussie n.澳洲人
austere	austere a.严峻的;简朴的
austerity	austerity n.朴素;节俭;苦行;严肃;严峻;酸涩
Austin	Austin n.英国制汽车牌名
austral	austral a.南的;南国的
Australia	Australia n.澳洲;澳大利亚
Australian	Australian n.澳洲人;澳大利亚人 a.澳洲的;澳洲人的;澳大利亚的
Australis	Australis n.南极光
Austria	Austria n.奥地利
Austrian	Austrian n.奥地利人 a.奥地利的;奥地利人的
autarchy	autarchy n.绝对主权
autarky	autarky n.自给自足
authentic	authentic a.真实的;可靠的;可信的
authentically	authentically ad.确实地;真正地
authenticate	authenticate vt.证明;证实;鉴定
authentication	authentication n.证明;鉴定
authenticity	authenticity n.确实性;真实性
author	author n.作家;创造者
author's	author's n.作者的
authoress	authoress n.女作家
authoritarian	authoritarian a.独裁的;独裁主义的
authoritative	authoritative a.权威的;有权威的;命令式的
authoritatively	authoritatively ad.命令式地;有权威地;可信地
authorities	authorities n.权威人士
authority	authority n.权威;专家;威信
authorization	authorization n.授权;认可
authorize	authorize vt.授权与;批准;委托代替
authorized	authorized a.经认可的;审定的;经授权的
authorized version	authorized version n.钦定圣经英译本
autism	autism n.孤独性
autnumber	autnumber v.数目超过;比...多
auto	auto n.自动;汽车
autoalarm	autoalarm n.自动警报接收机
autobiographer	autobiographer n.自传作者
autobiographical	autobiographical a.自传的;自传体的
autobiography	autobiography n.自传
autobus	autobus n.公共汽车;巴士
AutoCAD	AutoCAD n.Autodesk公司的计算机辅助设计软件
autocade	autocade n.汽车队伍
autochthonal	autochthonal a.土生的;土地固有的;土著的
autochthonism	autochthonism n.土著;土生;土产
autocracy	autocracy n.独裁政治;独裁政府
autocrat	autocrat n.独裁者
autocratic	autocratic a.独裁的;专制的
autocratically	autocratically ad.独裁地;专制地
Autodesk	Autodesk n.美国电脑软件公司
autodial	autodial n.自动拨号
autodidact	autodidact n.自学者
autodyne	autodyne n.接收装置
autoemission	autoemission n.自动发射
autogamous	autogamous a.自花受粉的;
autogenesis	autogenesis n.单性生殖;自生
autogenetic	autogenetic a.单性生植;自生
autogiro	autogiro n.旋翼飞机
autograph	autograph n.亲笔;自署;亲笔签名 vt.自署于;亲笔签名于;亲笔写
autogyro	autogyro n.旋翼飞机
autohypnosis	autohypnosis n.自我催眠
autoinatic	autoinatic n.自动
autoinfection	autoinfection n.自体传染
autoinoculation	autoinoculation n.自体接种;病毒自体移转
autointoxication	autointoxication n.自体中毒
automark	automark v.自动标记
automat	automat n.自动贩卖式餐馆
automata	automata n.自动操作;自动控制
automated	automated adj.自动的
automatic	automatic n.自动的机器 a.自动的;无意识的
automatically	automatically ad.自动地;机械地
automating	automating ing.自动操作
automation	automation n.自动控制;自动操作
automatism	automatism n.自动;自动作用;自动力
automatize	automatize vt.使自动化
automaton	automaton n.自动机器;机器人
automobile	automobile n.汽车
automobilist	automobilist n.常用汽车的人
automotive	automotive a.汽车的
autonomic	autonomic a.自治的;自律的
autonomous	autonomous a.自治的
autonomy	autonomy n.自治
autopay	autopay n.自动转帐
autopilot	autopilot n.自引示
autoplotter	autoplotter n.自动绘图机
autopsy	autopsy n.验尸
autosave	autosave v.自动保存
autostarter	autostarter n.自起动器
autosuggestion	autosuggestion n.自我暗示;自家感应
autotomy	autotomy n.自割
autotruck	autotruck n.运货卡车
autoxidation	autoxidation n.自然氧化
autumn	autumn n.秋天;成熟期
autumnal	autumnal a.秋的;秋天的
aux	aux n.输助设备的逻辑设备名;在MSDOS中经常对应于COM1
auxiliaries	auxiliaries n.附近
auxiliary	auxiliary n.帮助者;辅助物;助动词 a.附加的;辅助的
auxin	auxin n.茁长素
avail	avail vi.有用;有利 vt.有利于 n.效用;利益
availability	availability n.有效;有用;有益
available	available a.有用的;有空的
availably	availably ad.有效地
avalanche	avalanche n.雪崩;山崩;涌到之物 vi.崩落;涌至 vt.大量投入
avant-courier	avant-courier n.先驱;前卫;先锋
avarice	avarice n.贪财;贪婪
avaricious	avaricious a.贪财的;贪婪的
avatar	avatar n.天神下凡;神之化身;具体化
ave	ave n.大街;途径;林荫大道
ave-bell	ave-bell n.祈祷之钟
avenge	avenge vt.为...报复;报仇
avenger	avenger n.复仇者
avens	avens n.水杨酶属植物
avenue	avenue n.大街;途径;林荫路
aver	aver vt.断言;主张
average	average n.平均;平均数;海损 a.一般的;通常的;平均的 vt.平均为;均分;使平衡 vi.买进;卖出
averment	averment n.断言;主张;申辩
Avernus	Avernus n.意大利拿坡里附近的小湖;地狱
averse	averse a.不愿意的;反对的
aversion	aversion n.厌恶;讨厌的事;讨厌的人
avert	avert vt.转开;避免;防止
avi	avi 多媒体文件格式
avian	avian a.鸟类的
aviary	aviary n.鸟舍;大鸟笼
aviate	aviate vi.用飞机飞行
aviation	aviation n.航空;航空学;航空术
aviator	aviator n.飞行员;飞行家
aviatress	aviatress n.女飞行家
aviculture	aviculture n.养鸟;鸟类饲养
avid	avid a.热望的;急切的;贪婪的
avidity	avidity n.热望;贪婪
avifauna	avifauna n.鸟类
avirulent	avirulent a.无毒的
aviso	aviso n.通报;通报舰
avitaminosis	avitaminosis n.维他命缺乏症
avitrice	avitrice n.女飞行家
avocado	avocado n.鳄梨;其树
avocation	avocation n.副业;嗜好
avocet	avocet n.长嘴上弯的长脚鸟
avoid	avoid vt.避免;消除
avoidable	avoidable a.可避免的
avoidance	avoidance n.避免;避开;逃避
avoided	avoided pp.避免了
avoirdupois	avoirdupois n.常衡;体重;重量
avouch	avouch vt.vi.断言;声言;主张;承认 n.声明;保证;承认
avouch for	avouch for v.保证;担保
avow	avow vt.声明;承认;招认
avowal	avowal n.声明;声言;承认
avowed	avowed a.自认的;公开宣布的
avowedly	avowedly ad.公然地
avulsion	avulsion n.扯开;撕裂;扯离的部份
avuncular	avuncular a.伯父的;伯父似的
await	await vt.等候
awake	awake a.醒的 vt.vi.唤醒;唤起;醒来
awaken	awaken vt.vi.唤醒;醒来;唤起
awaken to	awaken to v.醒悟
awakening	awakening n.唤醒;觉醒 a.唤醒的
award	award n.奖品;决定;判决 vt.颁发;赏给
aware	aware a.知道的;注意到
awash	awash a.与水面齐平的;被浪冲打的
away	away ad.离去的
away from the point	away from the point ad.离题
awe	awe n.敬畏 vt.使敬畏
aweary	aweary a.疲倦的
aweather	aweather ad.迎风;向风
aweigh	aweigh ad.离开海底
aweless	aweless a.无威严的;不知畏惧的;大胆的
awesome	awesome a.引起敬畏的;可怕的
aweto	aweto n.冬虫夏草
awful	awful a.可怕的;庄严的
awfully	awfully ad.可怕地;非常地;极端地
awfulness	awfulness n.有威严;庄严;不高兴
awhile	awhile ad.片刻;一会儿
awhirl	awhirl a.ad.旋转的
awkward	awkward a.笨拙的
awl	awl n.锥子;尖钻
awning	awning n.遮阳篷;雨篷
awoke	awoke vbl.唤醒;唤起;提醒
awoken	awoken vbl.唤醒;醒来;唤起
awry	awry a.歪曲;错误的 ad.歪斜地
axe	axe n.斧头 vt.削减
ax	ax n.斧头 vt.削减
axe-grinding	axe-grinding a.心中别有企图的
axes	axes n.轴;轴线;轴心
axial	axial a.轴的;成轴的;轴周围的
axil	axil n.叶腋
axilla	axilla n.咯肢窝;腋窝
axillary	axillary a.腋窝的;叶腋的;腋生的 n.腋窝的羽翼
axiom	axiom n.自明之理;公理;格言
axiomatic	axiomatic a.自明的
axiomatically	axiomatically ad.照公理;自明地
axioms	axioms n.定理
axis	axis n.轴
axle	axle n.轮轴;车轴
axletree	axletree n.轮轴;车轴
axman	axman n.用斧者;樵夫
axolotl	axolotl n.蝾螈
axonompetry	axonompetry n.晶轴之测定
ay	ay n.赞成票;投赞成票者 ad.永久地
ayah	ayah n.女仆;奶妈
aye	aye n.赞成票;投赞成票者 ad.永久地
azalea	azalea n.杜鹃花
azilian	azilian a.中石器时代的
azimuth	azimuth n.方位;方位角
azimuthal	azimuthal a.方位角的
azoic	azoic a.无生的;无生命时代的
azonic	azonic a.不限于一地方的;非地方性的
azote	azote n.氮
azotic	azotic a.氮的
Aztec	Aztec n.阿芝特克人;阿芝特克语 a.阿芝特克人的
azure	azure n.天蓝色;碧空 a.蔚蓝的
azurite	azurite n.蓝铜矿
b	b n.字母B
baa	baa n.羊叫声 vi.叫
Baal	Baal n.太阳神
Baalism	Baalism n.巴尔神崇拜;偶像崇拜
baas	baas n.老板
bab	bab n.Barbara的昵称
Babbitt	Babbitt n.市侩
babble	babble vi.呀呀学语;喋喋不休 vt.唠叨;吐露
babbler	babbler n.爱唠叨的人
babe	babe n.小孩;缺乏经验的人
babel	babel n.巴别塔
babes and sucklings	babes and sucklings n.天真的孩子们;单纯的人们
baboo	baboo n.先生
baboon	baboon n.狒狒
babouche	babouche n.无后鞋跟的套鞋;拖鞋
babs	babs n.瞎盲接近指标系统
babushka	babushka n.头巾
baby	baby n.婴孩
babyhood	babyhood n.婴儿时代;婴儿;幼稚
babyish	babyish a.幼稚的;稚气的;愚蠢的
Babylon	Babylon n.巴比伦;罪恶
Babylonia	Babylonia n.巴比伦尼亚
Babylonian	Babylonian a.巴比伦的;罪恶的
babysit	babysit v.临时替人看顾小孩
bacca	bacca n.浆果
baccalaureate	baccalaureate n.学士学位;告别讲话
bacchanal	bacchanal a.酒神的;酒神节的;发酒疯的 n.酒神的信徒;狂饮作乐;酒神节
bacchanalian	bacchanalian a.酒神节的;狂饮作乐的 n.发酒疯的人
bacchantic	bacchantic a.崇拜酒神的;狂饮作乐的
Bacchic	Bacchic a.酒神的;酒醉的;喧闹的
Bacchus	Bacchus n.酒神
Bach	Bach n.bachelor之略语 vi.过独身生活
bachelor	bachelor n.单身汉;学士
bachelorhood	bachelorhood n.独身;独身生活
bachelorship	bachelorship n.独身;学士资格
bacilli	bacilli n.pl.细菌;杆菌
bacili	bacili n.pl.细菌;杆菌
bacillus	bacillus n.杆状菌;细菌
back	back a.后面的 vt.后退;支持 vi.倒退;背靠 ad.向后地 n.背部;后面
backache	backache n.背痛
backbencher	backbencher n.后座议员
backbit	backbit vbl.backbite的过去式
backbite	backbite vt.vi.n.背后诽谤;背后中伤
backbiter	backbiter n.背后诽谤者
backbiting	backbiting n.诽谤;中伤
backbitten	backbitten vbl.backbite的过去分词
backboard	backboard n.后板;背板;靠背板;篮板
backbone	backbone n.脊椎;志气;骨干;支柱
backbreaking	backbreaking a.非常辛劳的
backchat	backchat n.回嘴;顶嘴;诙谐的交谈
backdate	backdate vt.回溯
backdoor	backdoor a.秘密的
backdrop	backdrop n.背景幕;背景
backer	backer n.援助者;支持者
backfall	backfall n.将对方压制倒地背着垫子以取胜的手法
backfill	backfill vt.装填
backfire	backfire n.逆火;回火;放火 vi.放逆火;预先放火;发生意外
backgammon	backgammon n.西洋双陆棋戏
background	background n.背景 n.背景;后台
backhand	backhand n.反手拍;反手抽击;左斜体 v.反手抽击
backhanded	backhanded a.反手拍击的;间接的
backing	backing n.衬背;后援;支持者
backward	backward ad.向后地
backkward	backkward ad.向后地
backlash	backlash n.反斜线;后座
backlist	backlist n.库存书籍目录 vt.列入重版目录
backlit	backlit n.背光式
backmost	backmost a.最后面的
backpack	backpack v.挑运;n.挑运
backrest	backrest n.靠背
backroom	backroom a.在密室中的
backscatter	backscatter n.反散射
backseat	backseat n.后座;次要位置
backside	backside n.背部;背后;后方
backslap	backslap vt.vi.拍背以示友好
backslash character	backslash character n.反斜杠字符
backslid	backslid vbl.backslide的过去式
backslidden	backslidden vbl.backslide的过去分词
backslide	backslide vi.n.堕落;退步;背离宗教
backspace	backspace vi.退后一格 n.退格
backspace key	backspace key n.退格键
backstage	backstage ad.在后台;向后台
backstairs	backstairs n.后面楼梯;厨房门 a.诡密的;秘密的
backstay	backstay n.后部撑物
backstitch	backstitch n.倒缝 vt.vi.倒缝
backstop	backstop n.挡球网;捕手
backstroke	backstroke n.vi.还击;反手拍击;仰泳 vt.用反手击
backswing	backswing n.背向摆动
backtalk	backtalk n.工作联络交谈
backtrack	backtrack vi.返回;退走;撤退;放弃
backtracking	backtracking n.回索
backup	backup n.后援;支持;阻赛 vt.做备份 a.候补的;支持性的 n.备份 n.DOS命令:备份;将文件从一个磁盘复制到另一个磁盘上
backwardation	backwardation n.交割延期费
backwards	backwards ad.向后
backwards and forwards	backwards and forwards ad.来回地
backwash	backwash n.以橹反推的水;浪涛;逆流;反响
backwater	backwater n.死水;滞水;停滞;回水
backwoods	backwoods n.未开垦地;边远地区的人
backwoodsman	backwoodsman n.住在边远地区的人
backyard	backyard n.后院;后庭
bacon	bacon n.熏猪肉
bacteria	bacteria n.细菌
bacterial	bacterial a.细菌的
bactericidal	bactericidal a.杀菌的
bactericide	bactericide n.杀菌剂
bacteriological	bacteriological a.细菌学的;细菌学上的
bacteriologist	bacteriologist n.细菌学家
bacteriology	bacteriology n.细菌学
bacteriophage	bacteriophage n.抗菌素
bacterium	bacterium n.细菌
bacteroid	bacteroid n.假细菌 a.细菌状的
bad	bad a.坏的
bad-tempered	bad-tempered a.脾气不好的
bade	bade vbl.bid的过去式
badge	badge n.半自动防空警戒管制组织;徽章;标记
badger	badger n.獾;獾皮毛 vt.纠缠
badger-legged	badger-legged a.两腿长短不一的
badland	badland n.荒地
badly	badly ad.严重地;恶劣地;极度地
badminton	badminton n.羽毛球
badness	badness n.坏;恶;不良
Baedeker	Baedeker n.旅行指南;入门手册
baffle	baffle vt.困惑;为难;使挫折 vi.徒作挣扎 n.迷惑;挡板
baffle-wall	baffle-wall n.阻板;防音墙
baffling	baffling a.阻碍的;使困惑的;不可理解的
bag	bag n.袋子;袋状物 vt.装袋;猎获
bagasse	bagasse n.甘蔗渣
bagatelle	bagatelle n.琐事;小事;弹子球戏的一种
bagel	bagel n.炸圈型的硬面包
bagful	bagful n.满口袋
baggage	baggage n.行李
bagged	bagged a.松弛下垂的
bagger	bagger n.装袋工;垒打
bagging	bagging n.装袋;制袋材料
baggy	baggy a.袋状的;松垂的
Baghdad	Baghdad n.巴格达
bagman	bagman n.推销员;中间人
bagnio	bagnio n.意大利或土耳其的澡堂;牢狱;妓院
bagpipe	bagpipe n.风笛
bagpiper	bagpiper n.吹风笛的人;风笛手
bagwig	bagwig n.袋装假发
bagworm	bagworm n.结草虫
bah	bah int.呸!
Bahaism	Bahaism n.大同教;一种穆斯林教派
baht	baht n.泰国货币单位
bail	bail n.保释;把手;杓;桶箍;栅栏 vt.保释;汲水;舀水 vi.跳伞
bailable	bailable a.可保释的;可交保的
Bailee	Bailee n.守托者
bailey bridge	bailey bridge n.活动便桥
bailie	bailie n.市参事会员
bailiff	bailiff n.执行官;法庭监守;镇长
bailiwick	bailiwick n.执行官之职;范围
bailment	bailment n.寄托;保释
bailor	bailor n.寄托人
bailsman	bailsman n.保释保证人
bairn	bairn n.小孩
bait	bait n.饵 vt.以饵引诱;欺负 vi.中途休息
baize	baize n.厚羊毛毯;粗呢
bak	bak n.DOS文件扩展名:备份文件
