啊	娿
闪	閁
陕	陝
擅	擅
赡	赡
膳	膳
善	僐
汕	訕
扇	傓
缮	缮
墒	墒
伤	傷
商	啇
赏	賞
晌	晌
上	仩
尚	尙
裳	裳
梢	哨
捎	哨
稍	哨
烧	燒
芍	芍
勺	汋
韶	韶
少	仯
哨	哨
邵	卲
绍	袑
奢	奢
赊	赊
蛇	虵
舌	舙
舍	舎
赦	赦
摄	摂
射	射
慑	慑
涉	渉
社	涻
设	蔎
砷	砷
申	妽
呻	呻
伸	訷
身	裑
深	堔
娠	娠
绅	訷
神	鉮
沈	瀋
审	谉
婶	嬸
甚	卙
肾	腎
慎	慎
渗	椮
声	殸
生	泩
甥	甥
牲	狌
升	圱
绳	繩
省	渻
盛	墭
剩	乗
胜	夝
圣	聖
师	溮
失	妷
狮	浉
施	湤
湿	濕
诗	詩
尸	迉
虱	虱
十	拾
石	坧
拾	湁
时	溡
什	什
食	喰
蚀	蚀
实	實
识	識
史	史
矢	矢
使	使
屎	屍
驶	馶
始	始
式	鉽
示	沶
士	仕
世	迣
柿	枾
事	倳
拭	拭
誓	誓
逝	迣
势	勢
是	湜
嗜	嗜
噬	噬
适	适
仕	仕
侍	侍
释	释
饰	飾
氏	氏
市	巿
恃	恃
室	厔
视	視
试	鉽
收	荍
手	掱
首	渞
守	垨
寿	壽
授	涭
售	售
受	辤
瘦	痩
兽	獣
蔬	蔬
枢	枢
梳	梳
殊	姝
抒	杼
输	瀭
叔	埱
舒	忬
淑	蔋
疏	疏
书	書
赎	赎
孰	孰
熟	孰
薯	薯
暑	濐
曙	曙
署	署
蜀	蜀
黍	黍
鼠	癙
属	屬
术	朮
述	沭
树	樹
束	娕
戍	戍
竖	竪
墅	墅
庶	庶
数	薮
漱	漱
恕	恕
刷	唰
耍	耍
摔	摔
衰	缞
甩	甩
帅	帥
栓	拴
拴	拴
霜	灀
双	叒
爽	摤
谁	誰
水	渁
睡	腄
税	挩
吮	吮
瞬	橓
顺	順
舜	橓
说	説
硕	碩
朔	朔
烁	爍
斯	凘
撕	凘
嘶	凘
思	偲
私	俬
司	呞
丝	噝
死	屍
肆	肆
寺	峙
嗣	嗣
四	④
伺	伺
似	姒
饲	饲
巳	巳
松	菘
耸	聳
怂	怂
颂	頌
送	鎹
宋	浨
讼	讼
诵	誦
搜	溲
艘	艘
擞	擞
嗽	嗽
苏	蘇
酥	酥
俗	俗
素	嫊
速	趚
粟	粟
僳	僳
塑	愬
溯	溯
宿	蹜
诉	訴
肃	歗
酸	酸
蒜	祘
算	匴
虽	虽
隋	陏
随	隨
绥	浽
髓	髓
碎	誶
岁	嵗
穗	穗
遂	嬘
隧	隧
祟	祟
孙	孫
损	損
笋	笋
蓑	蓑
梭	逡
唆	逡
缩	縮
琐	鎖
索	鎍
锁	鎻
所	葰
塌	禢
他	彵
它	咜
她	咜
塔	嗒
獭	獭
挞	挞
蹋	蹋
踏	沓
胎	胎
苔	苔
抬	孡
台	珆
泰	溙
酞	酞
太	忲
态	忲
汰	呔
坍	坍
摊	摊
贪	貪
瘫	瘫
滩	滩
坛	墵
檀	檀
痰	痰
潭	憛
谭	谭
谈	談
坦	钽
毯	毯
袒	袒
碳	湠
探	探
叹	嘆
炭	湠
汤	饧
塘	溏
搪	搪
堂	漟
棠	橖
膛	膛
唐	瑭
糖	溏
倘	倘
躺	躺
淌	淌
趟	趟
烫	烫
掏	匋
涛	濤
滔	瑫
绦	绦
萄	匋
桃	洮
逃	洮
淘	匋
陶	匋
讨	討
套	套
特	特
藤	駦
腾	駦
疼	庝
誊	誊
梯	珶
剔	剔
踢	踢
锑	锑
提	諟
题	趧
蹄	渧
啼	渧
体	軆
替	櫕
嚏	嚏
惕	惕
涕	珶
剃	珶
屉	屟
天	兲
添	婖
填	瑱
田	甶
甜	甛
恬	恬
舔	婖
腆	睓
挑	狣
条	條
迢	迢
眺	眺
跳	朓
贴	萜
铁	鉄
帖	萜
厅	廰
听	厛
烃	烃
汀	汀
廷	侹
停	渟
亭	渟
庭	侹
挺	侹
艇	艇
通	嗵
桐	秱
酮	酮
瞳	瞳
同	哃
铜	恫
彤	浵
童	僮
桶	硧
捅	硧
筒	茼
统	統
痛	痌
偷	偸
投	投
头	頭
透	透
凸	凸
秃	禿
突	湥
图	圖
徒	徙
途	蒤
涂	凃
屠	廜
土	汢
吐	汢
兔	兎
湍	湍
团	團
推	蓷
颓	颓
腿	蹆
蜕	蜕
褪	蹆
退	蹆
吞	昋
屯	屯
臀	臀
拖	柂
托	仛
脱	脫
鸵	袉
陀	拕
驮	駞
驼	袉
椭	椭
妥	鋖
拓	沰
唾	唾
挖	挖
哇	哇
蛙	蛙
洼	哇
娃	哇
瓦	咓
袜	襪
歪	歪
外	迯
豌	豌
弯	塆
湾	塆
玩	琓
顽	顽
丸	汍
烷	烷
完	唍
碗	涴
挽	梚
晚	脕
皖	皖
惋	惋
宛	宛
婉	啘
万	萭
腕	腕
汪	忹
王	迋
亡	匄
枉	忹
网	蛧
往	暀
旺	忹
望	朢
忘	莣
妄	妄
威	媙
巍	蘶
微	嶶
危	佹
韦	韦
违	違
桅	桅
围	圍
唯	惟
惟	惟
为	潙
潍	潍
维	惟
苇	苇
萎	崣
委	逶
伟	偉
伪	沩
尾	屗
纬	纬
未	沬
蔚	墛
味	菋
畏	嵔
胃	媦
喂	嵔
魏	蘶
位	莅
渭	渭
谓	媦
尉	墛
慰	墛
卫	衞
瘟	瘟
温	溫
蚊	螡
文	妏
闻	聞
纹	鈫
吻	沕
稳	穏
紊	紊
问	問
嗡	滃
翁	暡
瓮	瓮
挝	挝
蜗	窩
涡	煱
窝	窉
我	莪
斡	斡
卧	臥
握	楃
沃	沃
巫	莁
呜	嗚
钨	钨
乌	烏
污	汚
诬	莁
屋	偓
无	嘸
芜	蕪
梧	梧
吾	圄
吴	呉
毋	毋
武	娬
五	伍
捂	圄
午	吘
舞	橆
伍	⑤
侮	侮
坞	坞
戊	戊
雾	霚
晤	晤
物	粅
勿	匢
务	務
悟	圄
误	誤
昔	厝
熙	凞
析	唽
西	覀
硒	硒
矽	矽
晰	晰
嘻	嘻
吸	扱
锡	唶
牺	犠
稀	浠
息	息
希	唏
悉	悉
膝	膝
夕	汐
惜	厝
熄	熄
烯	烯
溪	渓
汐	汐
犀	犀
檄	檄
袭	袭
席	席
习	習
媳	媳
喜	禧
铣	铣
洗	冼
系	係
隙	隙
戏	戱
细	細
瞎	磍
虾	虾
匣	匣
霞	葭
辖	轄
暇	叚
峡	浹
侠	浹
狭	浹
下	芐
厦	厦
夏	嗄
吓	圷
掀	锨
锨	锨
先	姺
仙	佡
鲜	鮮
纤	汘
咸	咸
贤	賢
衔	銜
舷	舷
闲	娴
涎	涎
弦	妶
嫌	溓
显	显
险	険
现	哯
献	獻
县	縣
腺	腺
馅	陥
羡	羨
宪	宪
陷	陥
限	限
线	線
相	楿
厢	厢
镶	镶
香	萫
箱	葙
襄	襄
湘	湘
乡	芗
翔	翔
祥	祥
详	詳
想	想
响	姠
享	啍
项	頙
巷	巷
橡	潒
像	潒
向	姠
象	潒
萧	簘
硝	硝
霄	霄
削	萷
哮	涍
嚣	嚣
销	销
消	消
宵	宵
淆	淆
晓	哓
小	尒
孝	涍
校	校
肖	肖
啸	啸
笑	笑
效	效
楔	楔
些	些
歇	歇
蝎	蝎
鞋	嚡
协	拹
挟	挾
携	携
邪	峫
斜	斜
胁	脅
谐	喈
写	冩
械	悈
卸	啣
蟹	蟹
懈	澥
泄	绁
泻	瀉
谢	塮
屑	屑
薪	蕲
芯	芯
锌	锌
欣	俽
辛	厗
新	噺
忻	忻
心	杺
信	信
衅	衅
星	暒
腥	睲
猩	睲
惺	瑆
兴	興
刑	鉶
型	侀
形	形
邢	郉
行	垳
醒	瑆
幸	圉
杏	莕
性	悻
姓	狌
兄	兇
凶	兇
胸	洶
匈	匈
汹	汹
雄	雄
熊	熋
休	咻
修	俢
羞	饈
朽	朽
嗅	溴
锈	琇
秀	莠
袖	袖
绣	绣
墟	歔
戌	戌
需	濡
虚	歔
嘘	歔
须	湏
徐	俆
许	汻
蓄	蓄
酗	酗
叙	溆
旭	旮
序	垿
畜	畜
恤	恤
絮	絮
婿	胥
绪	緒
续	續
轩	蓒
喧	媗
宣	媗
悬	悬
旋	嫙
玄	玆
选	選
癣	癣
眩	妶
绚	絢
靴	靴
薛	薛
学	敩
穴	泬
雪	膤
血	洫
勋	勛
熏	熏
循	揗
旬	洵
询	咰
寻	浔
驯	紃
巡	廵
殉	咰
汛	卂
训	訓
讯	卂
逊	遜
迅	卂
压	壓
押	呷
鸦	鴉
鸭	鴨
呀	吖
丫	吖
芽	厊
牙	厊
蚜	蚜
崖	崖
衙	衙
涯	涯
雅	蕥
哑	啞
亚	亞
讶	冴
焉	漹
咽	咽
阉	阉
烟	煙
淹	殗
盐	鹽
严	嚴
研	妍
蜒	蜒
岩	啱
延	娫
言	訁
颜	顔
阎	閻
炎	烾
沿	沿
奄	奄
掩	殗
眼	眼
衍	衍
演	湮
艳	滟
堰	堰
燕	嬿
厌	厭
砚	砚
雁	雁
唁	唁
彦	彦
焰	熖
宴	匽
谚	谚
验	験
殃	殃
央	姎
鸯	鴦
秧	秧
杨	昜
扬	婸
佯	佯
疡	疡
羊	咩
洋	樣
阳	陽
氧	氧
仰	卬
痒	癢
养	養
样	樣
漾	羕
邀	撽
腰	崾
妖	岆
瑶	愮
摇	愮
尧	尧
遥	滛
窑	窰
谣	愮
姚	烑
咬	吆
舀	舀
药	葯
要	婹
耀	耀
椰	倻
噎	噎
耶	倻
爷	爺
野	嘢
冶	冶
也	竾
页	頁
掖	掖
业	鄴
叶	旪
曳	曳
腋	腋
夜	液
液	液
一	①
壹	壹
医	悘
揖	揖
铱	铱
依	畩
伊	吚
衣	扆
颐	颐
夷	夷
遗	遗
移	簃
仪	儀
胰	胰
疑	寲
沂	沂
宜	宜
姨	侇
彝	彝
椅	掎
蚁	蚁
倚	掎
已	巳
乙	乁
矣	矣
以	姒
艺	兿
抑	抑
易	昜
邑	邑
屹	屹
亿	億
役	役
臆	臆
逸	逸
肄	肄
疫	疫
亦	洂
裔	裔
意	嬑
毅	藙
忆	忆
义	義
益	谥
溢	溢
诣	诣
议	议
谊	谊
译	譯
异	異
翼	翼
翌	翌
绎	绎
茵	筃
荫	荫
因	洇
殷	殷
音	堷
阴	隂
姻	絪
吟	荶
银	檭
淫	婬
寅	夤
饮	飮
尹	吚
引	吲
隐	陻
印	茚
英	渶
樱	璎
婴	璎
鹰	鹰
应	應
缨	缨
莹	瑩
萤	萤
营	營
荧	荧
蝇	蝇
迎	迊
赢	赢
盈	盁
影	影
颖	颕
硬	哽
映	眏
哟	喲
拥	砽
佣	砽
臃	臃
痈	痈
庸	滽
雍	澭
踊	踊
蛹	蛹
咏	怺
泳	怺
涌	悀
永	怺
恿	恿
勇	湧
用	鼡
幽	豳
优	沋
悠	滺
忧	沋
尤	尤
由	甴
邮	邮
铀	铀
犹	沋
油	怞
游	遊
酉	酉
有	洧
友	伖
右	祐
佑	祐
釉	釉
诱	诱
又	叒
幼	孧
迂	扜
淤	菸
于	纡
盂	盂
榆	榆
虞	虞
愚	愚
舆	舆
余	悇
俞	揄
逾	揄
鱼	渔
愉	揄
渝	揄
渔	渔
隅	隅
予	予
娱	娯
雨	雨
与	玙
屿	屿
禹	禹
宇	荢
语	娪
羽	羽
玉	砡
域	域
芋	芋
郁	喐
吁	吁
遇	喁
喻	喻
峪	峪
御	御
愈	匬
欲	慾
狱	獄
育	唷
誉	謍
浴	浴
寓	寓
裕	裕
预	預
豫	豫
驭	驭
鸳	鴛
渊	棩
冤	寃
元	沅
垣	垣
袁	媴
原	厡
援	瑗
辕	辕
园	圎
员	園
圆	園
猿	猿
源	羱
缘	緣
远	逺
苑	夗
愿	蒝
怨	葾
院	阮
曰	曰
约	箹
越	樾
跃	跞
钥	钥
岳	捳
粤	粵
月	仴
悦	哾
阅	閱
耘	秐
云	囩
郧	郧
匀	枃
陨	殒
允	狁
运	運
蕴	藴
酝	酝
晕	暈
韵	韻
孕	夃
匝	匝
砸	咂
杂	卆
栽	酨
哉	酨
灾	災
宰	宰
载	酨
再	侢
在	茬
咱	洎
攒	瓒
暂	暫
赞	瓒
赃	賍
脏	賍
葬	髒
遭	蹧
糟	蹧
凿	凿
藻	藻
枣	栆
早	皁
澡	璪
蚤	蚤
躁	璪
噪	璪
造	慥
皂	唣
灶	灶
燥	璪
责	嫧
择	萚
则	荝
泽	澤
贼	賊
怎	怎
增	熷
憎	璔
曾	嶒
赠	熷
扎	紥
喳	喳
渣	碴
札	札
轧	轧
铡	铡
闸	閘
眨	喳
栅	栅
榨	搾
咋	咋
乍	咋
炸	怍
诈	怍
摘	擿
斋	斋
宅	宅
窄	搾
债	債
寨	寨
瞻	瞻
毡	毡
詹	詹
粘	秥
沾	跕
盏	盏
斩	斬
辗	辗
崭	崭
展	蹍
蘸	蘸
栈	棧
占	颭
战	戰
站	跕
湛	偡
绽	綻
樟	樟
章	嶂
彰	彰
漳	漳
张	張
掌	礃
涨	涨
杖	粀
丈	扙
帐	賬
账	账
仗	扙
胀	胀
瘴	瘴
障	障
招	妱
昭	昭
找	找
沼	沼
赵	趙
照	燳
罩	罩
兆	狣
肇	肇
召	佋
遮	嗻
折	菥
哲	悊
蛰	蛰
辙	辙
者	鍺
锗	锗
蔗	蔗
这	適
浙	淅
珍	沴
斟	斟
真	嫃
甄	甄
砧	砧
臻	臻
贞	浈
针	針
侦	浈
枕	忱
疹	疹
诊	沴
震	震
振	桭
镇	鎮
阵	俥
蒸	篜
挣	諍
睁	諍
征	姃
狰	狰
争	踭
怔	姃
整	整
拯	拯
正	囸
政	炡
帧	帧
症	症
郑	鄭
证	姃
芝	芷
枝	汥
支	伎
吱	汥
蜘	倁
知	倁
肢	汥
脂	脂
汁	汥
之	と
织	枳
职	轵
直	矗
植	淔
殖	殖
执	秇
值	惪
侄	侄
址	歮
指	栺
止	圵
趾	趾
只	呮
旨	旨
纸	衹
志	梽
挚	挚
掷	掷
至	臸
致	臸
置	置
帜	帜
峙	峙
制	淛
智	潪
秩	秩
稚	雉
质	質
炙	炙
痔	痔
滞	滞
治	菭
窒	窒
中	狆
盅	盅
忠	筗
钟	妕
衷	衷
终	蔠
种	種
肿	妕
重	偅
仲	仲
众	衆
舟	洀
周	淍
州	詶
洲	詶
诌	诌
粥	粥
轴	轴
肘	肘
帚	帚
咒	咒
皱	皺
宙	宙
昼	昼
骤	骤
珠	咮
株	株
蛛	咮
朱	咮
猪	蕏
诸	渚
诛	诛
逐	豩
竹	艸
烛	烛
煮	煑
拄	拄
瞩	瞩
嘱	瞩
主	炷
著	著
柱	炷
助	莇
蛀	蛀
贮	贮
铸	铸
筑	茿
住	炷
注	炷
祝	柷
驻	驻
抓	抓
爪	爪
拽	跩
专	抟
砖	磚
转	啭
撰	撰
赚	賺
篆	篆
桩	桩
庄	圧
装	裝
妆	妝
撞	獞
壮	匨
状	匨
椎	椎
锥	锥
追	搥
赘	赘
坠	墜
缀	綴
谆	谆
准	痽
捉	浞
拙	炪
卓	婥
桌	棹
琢	琢
茁	茁
酌	酌
啄	啄
着	着
灼	灼
浊	浊
兹	兹
咨	恣
资	粢
姿	恣
滋	稵
淄	淄
孜	孜
紫	橴
仔	仔
籽	籽
滓	滓
子	ふ
自	洎
渍	渍
字	牸
鬃	鬃
棕	琮
踪	琮
宗	崈
综	琮
总	縂
纵	枞
邹	邹
走	趉
奏	楱
揍	楱
租	蒩
足	娖
卒	卒
族	蔟
祖	袓
诅	蒩
阻	蒩
组	蒩
钻	鑽
纂	纂
嘴	觜
醉	酔
最	朂
罪	嶵
尊	澊
遵	噂
昨	葃
左	咗
佐	佐
柞	柞
做	莋
作	莋
坐	唑
座	蓙
